SELL at 248.8000030517578
SELL at 248.8000030517578
SELL at 248.8000030517578
WAIT | Price: 66615.96875 | RSI: 34.45 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66615.96875 | RSI: 34.45 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66615.96875 | RSI: 34.45 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66615.96875 | RSI: 34.45 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66615.96875 | RSI: 34.45 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66615.96875 | RSI: 34.45 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66654.15625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66653.0703125 | RSI: 34.57 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66656.9140625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
WAIT | Price: 66656.9140625 | RSI: 34.58 | Balance: 10000 | Net Worth: 10000.0 | Profit: 0.0 (0.00%)
